t 1 2 3 4 5 6 7 8 9 jE0007 jF0201 jF0003 jF0003 jF0501 jF0703 jV0008 
0 -0 0 0 0 0 0 -0 -0 0 -0 -0 0 0 0 0 -0
0.002 0 0 0 0 0.012 0.012 0.012 0.012 0 -0 0 0 0 0 0 0
0.004 0 0 0 0 0.024 0.024 0.024 0.024 0 -0 0 0 0 0 0 0
0.006 0 0 0 0 0.036 0.036 0.036 0.036 0 -0 0 0 0 0 0 0
0.008 0 0 0 0 0.048 0.048 0.048 0.048 0 -0 0 0 0 0 0 0
0.01 0 0 0 0 0.06 0.06 0.06 0.06 0 -0 0 0 0 0 0 0
0.012 0 0 0 0 0.072 0.072 0.072 0.072 0 -0 0 0 0 0 0 0
0.014 0 0 0 0 0.084 0.084 0.084 0.084 0 -0 0 0 0 0 0 0
0.016 0 0 0 0 0.096 0.096 0.096 0.096 0 -0 0 0 0 0 0 0
0.018 0 0 0 0 0.108 0.108 0.108 0.108 0 -0 0 0 0 0 0 0
0.02 0 0 0 0 0.12 0.12 0.12 0.12 0 -0 0 0 0 0 0 0
0.022 0 0 0 0 0.132 0.132 0.132 0.132 0 -0 0 0 0 0 0 0
0.024 0 0 0 0 0.144 0.144 0.144 0.144 0 -0 0 0 0 0 0 0
0.026 0 0 0 0 0.156 0.156 0.156 0.156 0 -0 0 0 0 0 0 0
0.028 0 0 0 0 0.168 0.168 0.168 0.168 0 -0 0 0 0 0 0 0
0.03 0 0 0 0 0.18 0.18 0.18 0.18 0 -0 0 0 0 0 0 0
0.032 0 0 0 0 0.192 0.192 0.192 0.192 0 -0 0 0 0 0 0 0
0.034 0 0 0 0 0.204 0.204 0.204 0.204 0 -0 0 0 0 0 0 0
0.036 0 0 0 0 0.216 0.216 0.216 0.216 0 -0 0 0 0 0 0 0
0.038 0 0 0 0 0.228 0.228 0.228 0.228 0 -0 0 0 0 0 0 0
0.04 0 0 0 0 0.24 0.24 0.24 0.24 0 -0 0 0 0 0 0 0
0.042 0 0 0 0 0.252 0.252 0.252 0.252 0 -0 0 0 0 0 0 0
0.044 0 0 0 0 0.264 0.264 0.264 0.264 0 -0 0 0 0 0 0 0
