t 1 2 jL0100 
0 1 1 1e-10
0.1 1.00067 1.14663 0.0667116
0.2 1.00226 1.33714 0.155766
0.3 1.00465 1.53712 0.252428
0.4 1.00752 1.7352 0.351817
0.5 1.01051 1.92775 0.452313
0.6 1.01323 2.11371 0.553361
0.7 1.01531 2.29285 0.654731
0.8 1.01642 2.46516 0.756282
0.9 1.01624 2.63068 0.857882
1 1.0145 2.78942 0.959382
1.1 1.01095 2.94137 1.06061
1.2 1.00536 3.08649 1.16138
1.3 0.997548 3.22469 1.26147
1.4 0.987338 3.35586 1.36066
1.5 0.974594 3.47989 1.45869
1.6 0.959198 3.59661 1.55532
1.7 0.94106 3.70588 1.65026
1.8 0.92011 3.80753 1.74325
1.9 0.896302 3.9014 1.834
2 0.869611 3.98732 1.92223
2.1 0.840032 4.06513 2.00764
2.2 0.807583 4.13467 2.08995
2.3 0.772298 4.1958 2.16887
2.4 0.734232 4.2484 2.24413
2.5 0.693457 4.29233 2.31544
2.6 0.650062 4.32752 2.38255
2.7 0.604153 4.35387 2.4452
2.8 0.555851 4.37134 2.50314
2.9 0.505292 4.37989 2.55614
3 0.452626 4.37952 2.60398
3.1 0.398017 4.37025 2.64646
3.2 0.34164 4.35212 2.6834
3.3 0.28368 4.32521 2.71462
3.4 0.224337 4.28962 2.73998
3.5 0.163815 4.24549 2.75936
3.6 0.102329 4.19297 2.77264
3.7 0.0401031 4.13227 2.77974
3.8 -0.0226353 4.06361 2.7806
3.9 -0.0856517 3.98723 2.77517
4 -0.148707 3.90342 2.76345
4.1 -0.211561 3.81249 2.74544
4.2 -0.273968 3.71477 2.72117
4.3 -0.335683 3.61064 2.6907
4.4 -0.396461 3.50048 2.65412
4.5 -0.456057 3.38471 2.61152
4.6 -0.51423 3.26378 2.56304
4.7 -0.57074 3.13814 2.50883
4.8 -0.625353 3.00827 2.44907
4.9 -0.677837 2.87469 2.38396
5 -0.72797 2.7379 2.31372
5.1 -0.775536 2.59846 2.23861
5.2 -0.820326 2.4569 2.15888
5.3 -0.862142 2.3138 2.07483
5.4 -0.900794 2.16972 1.98676
5.5 -0.936104 2.02524 1.895
5.6 -0.967907 1.88094 1.79988
5.7 -0.996048 1.73743 1.70177
5.8 -1.02039 1.59527 1.60104
5.9 -1.0408 1.45508 1.49808
6 -1.05717 1.31742 1.39328
6.1 -1.0694 1.18287 1.28706
6.2 -1.07742 1.05201 1.17982
6.3 -1.08132 0.92038 1.07199
6.4 -1.08145 0.783356 0.963946
6.5 -1.07829 0.639521 0.856046
6.6 -1.07238 0.488442 0.748587
6.7 -1.06427 0.329945 0.641816
6.8 -1.05455 0.163873 0.535922
6.9 -1.04377 -0.0099988 0.43104
7 -1.0325 -0.191992 0.327245
