t 1 2 3 4 jL0203 jE0400 jV0200 
0 0 -0 0 0 -0 0 0
1e-05 0.0392441 0.627905 0.0392444 0.588661 0.00392441 0 -0.00392441
2e-05 0.127388 1.25333 0.12739 1.12594 0.0127388 0 -0.0127388
3e-05 0.264085 1.87381 0.264087 1.60973 0.0264085 0 -0.0264085
4e-05 0.445728 2.4869 0.445732 2.04117 0.0445728 0 -0.0445728
5e-05 0.667769 3.09017 0.667775 2.42239 0.0667769 0 -0.0667769
6e-05 0.925498 3.68125 0.925507 2.75574 0.0925498 0 -0.0925498
7e-05 1.21431 4.25779 1.21432 3.04347 0.121431 0 -0.121431
8e-05 1.52976 4.81754 1.52978 3.28776 0.152976 0 -0.152976
9e-05 1.86762 5.35827 1.86764 3.49063 0.186762 0 -0.186762
0.0001 2.22384 5.87785 2.22386 3.65399 0.222384 0 -0.222384
0.00011 2.59456 6.37424 2.59458 3.77966 0.259456 0 -0.259456
0.00012 2.97609 6.84547 2.97612 3.86936 0.297609 0 -0.297609
0.00013 3.36491 7.28969 3.36494 3.92474 0.336491 0 -0.336491
0.00014 3.75768 7.70513 3.75772 3.94741 0.375768 0 -0.375768
0.00015 4.1512 8.09017 4.15124 3.93893 0.41512 0 -0.41512
0.00016 4.54243 8.44328 4.54247 3.90081 0.454243 0 -0.454243
0.00017 4.92847 8.76307 4.92852 3.83455 0.492847 0 -0.492847
0.00018 5.30659 9.04827 5.30665 3.74162 0.530659 0 -0.530659
0.00019 5.6742 9.29776 5.67426 3.62351 0.56742 0 -0.56742
0.0002 6.02885 9.51057 6.02891 3.48166 0.602885 0 -0.602885
0.00021 6.36823 9.68583 6.3683 3.31753 0.636823 0 -0.636823
0.00022 6.6902 9.82287 6.69027 3.1326 0.66902 0 -0.66902
0.00023 6.99275 9.92115 6.99282 2.92833 0.699275 0 -0.699275
0.00024 7.27401 9.98027 7.27408 2.70619 0.727401 0 -0.727401
0.00025 7.53227 10 7.53235 2.46765 0.753227 0 -0.753227
0.00026 7.76597 9.98027 7.76605 2.21422 0.776597 0 -0.776597
0.00027 7.9737 9.92115 7.97378 1.94737 0.79737 0 -0.79737
0.00028 8.15418 9.82287 8.15426 1.66861 0.815418 0 -0.815418
0.00029 8.30631 9.68583 8.30639 1.37944 0.830631 0 -0.830631
0.0003 8.4291 9.51057 8.42919 1.08138 0.84291 0 -0.84291
0.00031 8.52177 9.29776 8.52185 0.775914 0.852177 0 -0.852177
0.00032 8.58362 9.04827 8.58371 0.464561 0.858362 0 -0.858362
0.00033 8.61416 8.76307 8.61425 0.148817 0.861416 0 -0.861416
0.00034 8.61302 8.44328 8.61311 -0.169829 0.861302 0 -0.861302
0.00035 8.57998 8.09017 8.58007 -0.489897 0.857998 0 -0.857998
0.00036 8.51497 7.70513 8.51506 -0.809926 0.851497 0 -0.851497
0.00037 8.41807 7.28969 8.41816 -1.12847 0.841807 0 -0.841807
0.00038 8.2895 6.84547 8.28958 -1.44411 0.82895 0 -0.82895
0.00039 8.12961 6.37424 8.12969 -1.75545 0.812961 0 -0.812961
0.0004 7.9389 5.87785 7.93898 -2.06113 0.79389 0 -0.79389
0.00041 7.71801 5.35827 7.71809 -2.35982 0.771801 0 -0.771801
0.00042 7.4677 4.81754 7.46778 -2.65024 0.74677 0 -0.74677
0.00043 7.18886 4.25779 7.18893 -2.93113 0.718886 0 -0.718886
0.00044 6.88249 3.68125 6.88256 -3.20131 0.688249 0 -0.688249
0.00045 6.54972 3.09017 6.54979 -3.45962 0.654972 0 -0.654972
0.00046 6.1918 2.4869 6.19186 -3.70497 0.61918 0 -0.61918
0.00047 5.81008 1.87381 5.81013 -3.93632 0.581008 0 -0.581008
0.00048 5.40599 1.25333 5.40604 -4.15271 0.540599 0 -0.540599
0.00049 4.98107 0.627905 4.98112 -4.35322 0.498107 0 -0.498107
0.0005 4.53697 -4.26326e-14 4.53701 -4.53701 0.453697 0 -0.453697
0.00051 4.07538 -0.627905 4.07542 -4.70333 0.407538 0 -0.407538
