t 1 2 3 4 5 6 jL0100 jL0200 jL0300 jE0400 jE0504 jE0605 
0 1 1 1 1 2 3 3e-13 1.2e-12 2.7e-12 0 0 0
3e-07 0.99996 0.99984 0.99964 0.99964 1.99948 2.99944 0.000199992 0.000799872 0.00179935 0 0 0
6e-07 0.999853 0.999413 0.998681 0.998681 1.99809 2.99795 0.000466627 0.00186603 0.00419676 0 0 0
9e-07 0.999667 0.998667 0.997003 0.997003 1.99567 2.99534 0.000755438 0.00302035 0.0067905 0 0 0
1.2e-06 0.999394 0.997578 0.994555 0.994555 1.99213 2.99153 0.00105159 0.00420318 0.00944528 0 0 0
1.5e-06 0.999033 0.996136 0.991316 0.991316 1.98745 2.98648 0.00135011 0.00539437 0.0121146 0 0 0
1.8e-06 0.998583 0.994338 0.98728 0.98728 1.98162 2.9802 0.00164934 0.0065869 0.0147814 0 0 0
2.1e-06 0.998043 0.992183 0.982447 0.982447 1.97463 2.97267 0.00194869 0.00777816 0.0174388 0 0 0
2.4e-06 0.997414 0.989671 0.976819 0.976819 1.96649 2.9639 0.00224795 0.00896698 0.0200829 0 0 0
2.7e-06 0.996695 0.986803 0.970401 0.970401 1.9572 2.9539 0.00254705 0.0101527 0.0227109 0 0 0
3e-06 0.995886 0.98358 0.963197 0.963197 1.94678 2.94266 0.00284592 0.0113348 0.0253207 0 0 0
3.3e-06 0.994987 0.980004 0.955214 0.955214 1.93522 2.9302 0.00314454 0.0125128 0.02791 0 0 0
3.6e-06 0.993999 0.976074 0.946458 0.946458 1.92253 2.91653 0.00344288 0.0136864 0.0304768 0 0 0
3.9e-06 0.992921 0.971793 0.936935 0.936935 1.90873 2.90165 0.00374092 0.014855 0.0330188 0 0 0
4.2e-06 0.991755 0.967163 0.926654 0.926654 1.89382 2.88557 0.00403861 0.0160183 0.0355342 0 0 0
4.5e-06 0.990498 0.962184 0.915623 0.915623 1.87781 2.86831 0.00433594 0.0171758 0.0380207 0 0 0
4.8e-06 0.989153 0.956859 0.903851 0.903851 1.86071 2.84986 0.00463288 0.0183271 0.0404765 0 0 0
5.1e-06 0.987719 0.95119 0.891347 0.891347 1.84254 2.83026 0.00492941 0.0194718 0.0428995 0 0 0
5.4e-06 0.986196 0.945178 0.878121 0.878121 1.8233 2.80949 0.00522549 0.0206095 0.0452878 0 0 0
5.7e-06 0.984584 0.938826 0.864185 0.864185 1.80301 2.78759 0.0055211 0.0217398 0.0476394 0 0 0
6e-06 0.982883 0.932136 0.849549 0.849549 1.78168 2.76457 0.00581621 0.0228623 0.0499525 0 0 0
6.3e-06 0.981094 0.925111 0.834225 0.834225 1.75934 2.74043 0.0061108 0.0239765 0.0522251 0 0 0
6.6e-06 0.979217 0.917753 0.818226 0.818226 1.73598 2.7152 0.00640484 0.0250822 0.0544555 0 0 0
6.9e-06 0.977251 0.910064 0.801565 0.801565 1.71163 2.68888 0.0066983 0.0261788 0.0566417 0 0 0
7.2e-06 0.975198 0.902048 0.784254 0.784254 1.6863 2.6615 0.00699116 0.0272659 0.0587822 0 0 0
7.5e-06 0.973057 0.893708 0.766309 0.766309 1.66002 2.63307 0.0072834 0.0283433 0.060875 0 0 0
