t 1 2 3 4 5 6 jV0200 jV0400 
0 0 0 0 0 0 0 0 0
0.0001 0.00331785 1 0.0030175 1 6.6357e-08 6.035e-08 -4.98341e-05 -4.98491e-05
0.0002 0.011039 2 0.0100413 2 2.20779e-07 2.00827e-07 -9.94481e-05 -9.94979e-05
0.0003 0.023503 3 0.0213828 3 4.70059e-07 4.27656e-07 -0.000148825 -0.000148931
0.0004 0.0408006 4 0.037127 4 8.16012e-07 7.4254e-07 -0.00019796 -0.000198144
0.0005 0.0629394 5 0.0572836 5 1.25879e-06 1.14567e-06 -0.000246853 -0.000247136
0.0006 0.0898995 6 0.0818371 6 1.79799e-06 1.63674e-06 -0.000295505 -0.000295908
0.0007 0.121652 7 0.110764 7 2.43304e-06 2.21528e-06 -0.000343917 -0.000344462
0.0008 0.158164 8 0.144037 8 3.16329e-06 2.88075e-06 -0.000392092 -0.000392798
0.0009 0.199405 9 0.181631 9 3.9881e-06 3.63261e-06 -0.00044003 -0.000440918
0.001 0.24534 10 0.223517 10 4.9068e-06 4.47033e-06 -0.000487733 -0.000488824
0.0011 0.295937 11 0.269668 11 5.91875e-06 5.39336e-06 -0.000535203 -0.000536517
0.0012 0.351164 12 0.320057 12 7.02329e-06 6.40115e-06 -0.000582442 -0.000583997
0.0013 0.410989 13 0.374658 13 8.21977e-06 7.49317e-06 -0.000629451 -0.000631267
0.0014 0.475378 14 0.433444 14 9.50757e-06 8.66888e-06 -0.000676231 -0.000678328
0.0015 0.544302 15 0.496388 15 1.0886e-05 9.92776e-06 -0.000722785 -0.000725181
0.0016 0.617727 16 0.563464 16 1.23545e-05 1.12693e-05 -0.000769114 -0.000771827
0.0017 0.695622 17 0.634645 17 1.39124e-05 1.26929e-05 -0.000815219 -0.000818268
0.0018 0.777957 18 0.709906 18 1.55591e-05 1.41981e-05 -0.000861102 -0.000864505
0.0019 0.8647 19 0.78922 19 1.7294e-05 1.57844e-05 -0.000906765 -0.000910539
0.002 0.95582 20 0.872563 20 1.91164e-05 1.74513e-05 -0.000952209 -0.000956372
0.0021 1.05129 21 0.959908 21 2.10258e-05 1.91982e-05 -0.000997436 -0.001002
0.0022 1.15107 22 1.05123 22 2.30214e-05 2.10246e-05 -0.00104245 -0.00104744
0.0023 1.25514 23 1.1465 23 2.51029e-05 2.29301e-05 -0.00108724 -0.00109267
0.0024 1.36347 24 1.2457 24 2.72694e-05 2.49141e-05 -0.00113183 -0.00113771
0.0025 1.47602 25 1.34881 25 2.95205e-05 2.69761e-05 -0.0011762 -0.00118256
0.0026 1.59278 26 1.45578 26 3.18555e-05 2.91157e-05 -0.00122036 -0.00122721
0.0027 1.7137 27 1.56662 27 3.42739e-05 3.13323e-05 -0.00126432 -0.00127167
0.0028 1.83876 28 1.68128 28 3.67751e-05 3.36255e-05 -0.00130806 -0.00131594
0.0029 1.96792 29 1.79974 29 3.93585e-05 3.59948e-05 -0.0013516 -0.00136001
0.003 2.10118 30 1.92198 30 4.20235e-05 3.84397e-05 -0.00139494 -0.0014039
0.0031 2.23848 31 2.04798 31 4.47696e-05 4.09596e-05 -0.00143808 -0.0014476
0.0032 2.37981 32 2.17771 32 4.75962e-05 4.35542e-05 -0.00148101 -0.00149111
0.0033 2.52513 33 2.31115 33 5.05027e-05 4.6223e-05 -0.00152374 -0.00153444
0.0034 2.67443 34 2.44827 34 5.34886e-05 4.89655e-05 -0.00156628 -0.00157759
0.0035 2.82766 35 2.58906 35 5.65533e-05 5.17812e-05 -0.00160862 -0.00162055
0.0036 2.98481 36 2.73348 36 5.96963e-05 5.46696e-05 -0.00165076 -0.00166333
0.0037 3.14585 37 2.88152 37 6.2917e-05 5.76304e-05 -0.00169271 -0.00170592
0.0038 3.31075 38 3.03315 38 6.62149e-05 6.06629e-05 -0.00173446 -0.00174834
0.0039 3.47947 39 3.18835 39 6.95895e-05 6.37669e-05 -0.00177603 -0.00179058
0.004 3.65201 40 3.34709 40 7.30401e-05 6.69418e-05 -0.0018174 -0.00183265
0.0041 3.82832 41 3.50936 41 7.65664e-05 7.01872e-05 -0.00185858 -0.00187453
0.0042 4.00838 42 3.67513 42 8.01677e-05 7.35026e-05 -0.00189958 -0.00191624
0.0043 4.19217 43 3.84438 43 8.38435e-05 7.68876e-05 -0.00194039 -0.00195778
0.0044 4.37967 44 4.01709 44 8.75933e-05 8.03418e-05 -0.00198102 -0.00199915
0.0045 4.57083 45 4.19323 45 9.14167e-05 8.38647e-05 -0.00202146 -0.00204034
0.0046 4.76565 46 4.37279 46 9.5313e-05 8.74558e-05 -0.00206172 -0.00208136
0.0047 4.96409 47 4.55574 47 9.92818e-05 9.11148e-05 -0.0021018 -0.00212221
0.0048 5.16613 48 4.74206 48 0.000103323 9.48412e-05 -0.00214169 -0.0021629
0.0049 5.37174 49 4.93173 49 0.000107435 9.86346e-05 -0.00218141 -0.00220341
0.005 5.5809 50 5.12473 50 0.000111618 0.000102495 -0.00222096 -0.00224376
0.0051 5.79358 51 5.32103 51 0.000115872 0.000106421 -0.00226032 -0.00228395
0.0052 6.00976 52 5.52062 52 0.000120195 0.000110412 -0.00229951 -0.00232397
0.0053 6.22942 53 5.72347 53 0.000124588 0.000114469 -0.00233853 -0.00236383
0.0054 6.45253 54 5.92957 54 0.000129051 0.000118591 -0.00237737 -0.00240352
0.0055 6.67906 55 6.13889 55 0.000133581 0.000122778 -0.00241605 -0.00244306
0.0056 6.909 56 6.35142 56 0.00013818 0.000127028 -0.00245455 -0.00248243
0.0057 7.14231 57 6.56713 57 0.000142846 0.000131343 -0.00249288 -0.00252164
0.0058 7.37898 58 6.786 58 0.00014758 0.00013572 -0.00253105 -0.0025607
0.0059 7.61898 59 7.00801 59 0.00015238 0.00014016 -0.00256905 -0.0025996
0.006 7.86229 60 7.23315 60 0.000157246 0.000144663 -0.00260689 -0.00263834
0.0061 8.10889 61 7.46139 61 0.000162178 0.000149228 -0.00264456 -0.00267693
0.0062 8.35874 62 7.69271 62 0.000167175 0.000153854 -0.00268206 -0.00271536
0.0063 8.61184 63 7.9271 63 0.000172237 0.000158542 -0.00271941 -0.00275364
0.0064 8.86816 64 8.16453 64 0.000177363 0.000163291 -0.00275659 -0.00279177
0.0065 9.12766 65 8.40499 65 0.000182553 0.0001681 -0.00279362 -0.00282975
0.0066 9.39035 66 8.64845 66 0.000187807 0.000172969 -0.00283048 -0.00286758
0.0067 9.65618 67 8.8949 67 0.000193124 0.000177898 -0.00286719 -0.00290526
0.0068 9.92514 68 9.14431 68 0.000198503 0.000182886 -0.00290374 -0.00294278
0.0069 10.1972 69 9.39668 69 0.000203944 0.000187934 -0.00294014 -0.00298017
0.007 10.4724 70 9.65197 70 0.000209447 0.000193039 -0.00297638 -0.0030174
0.0071 10.7506 71 9.91018 71 0.000215011 0.000198204 -0.00301247 -0.00305449
0.0072 11.0318 72 10.1713 72 0.000220637 0.000203426 -0.00304841 -0.00309144
0.0073 11.3161 73 10.4353 73 0.000226322 0.000208705 -0.00308419 -0.00312824
0.0074 11.6034 74 10.7021 74 0.000232068 0.000214042 -0.00311983 -0.0031649
0.0075 11.8936 75 10.9718 75 0.000237873 0.000219435 -0.00315532 -0.00320141
0.0076 12.1868 76 11.2442 76 0.000243737 0.000224885 -0.00319066 -0.00323779
0.0077 12.483 77 11.5195 77 0.00024966 0.000230391 -0.00322585 -0.00327402
0.0078 12.7821 78 11.7976 78 0.000255641 0.000235952 -0.0032609 -0.00331012
0.0079 13.084 79 12.0785 79 0.000261681 0.000241569 -0.0032958 -0.00334608
0.008 13.3889 80 12.3621 80 0.000267777 0.000247241 -0.00333056 -0.0033819
0.0081 13.6966 81 12.6484 81 0.000273931 0.000252968 -0.00336517 -0.00341758
0.0082 14.0071 82 12.9374 82 0.000280142 0.000258748 -0.00339965 -0.00345313
0.0083 14.3204 83 13.2292 83 0.000286409 0.000264583 -0.00343398 -0.00348854
0.0084 14.6366 84 13.5236 84 0.000292732 0.000270472 -0.00346817 -0.00352382
0.0085 14.9555 85 13.8207 85 0.00029911 0.000276413 -0.00350222 -0.00355897
0.0086 15.2772 86 14.1204 86 0.000305544 0.000282408 -0.00353614 -0.00359398
0.0087 15.6016 87 14.4227 87 0.000312032 0.000288455 -0.00356992 -0.00362886
0.0088 15.9288 88 14.7277 88 0.000318575 0.000294554 -0.00360356 -0.00366361
0.0089 16.2586 89 15.0353 89 0.000325172 0.000300706 -0.00363707 -0.00369824
0.009 16.5911 90 15.3454 90 0.000331822 0.000306909 -0.00367044 -0.00373273
0.0091 16.9263 91 15.6581 91 0.000338526 0.000313163 -0.00370369 -0.00376709
0.0092 17.2641 92 15.9734 92 0.000345283 0.000319468 -0.00373679 -0.00380133
0.0093 17.6046 93 16.2912 93 0.000352092 0.000325824 -0.00376977 -0.00383544
0.0094 17.9476 94 16.6115 94 0.000358953 0.00033223 -0.00380262 -0.00386942
0.0095 18.2933 95 16.9343 95 0.000365866 0.000338686 -0.00383534 -0.00390328
0.0096 18.6415 96 17.2596 96 0.00037283 0.000345192 -0.00386792 -0.00393702
0.0097 18.9923 97 17.5874 97 0.000379846 0.000351747 -0.00390039 -0.00397063
0.0098 19.3456 98 17.9176 98 0.000386912 0.000358351 -0.00393272 -0.00400412
0.0099 19.7014 99 18.2502 99 0.000394029 0.000365004 -0.00396493 -0.00403749
0.01 20.0598 100 18.5853 100 0.000401195 0.000371705 -0.00399701 -0.00407074
0.0101 20.4173 100 18.9197 100 0.000408345 0.000378394 -0.00397914 -0.00405401
0.0102 20.7728 100 19.2526 100 0.000415457 0.000385051 -0.00396136 -0.00403737
0.0103 21.1261 100 19.5835 100 0.000422522 0.000391669 -0.0039437 -0.00402083
0.0104 21.477 100 19.9123 100 0.000429539 0.000398246 -0.00392615 -0.00400438
0.0105 21.8254 100 20.2391 100 0.000436508 0.000404782 -0.00390873 -0.00398805
0.0106 22.1714 100 20.5638 100 0.000443428 0.000411276 -0.00389143 -0.00397181
0.0107 22.515 100 20.8865 100 0.0004503 0.000417729 -0.00387425 -0.00395568
0.0108 22.8562 100 21.2071 100 0.000457124 0.000424142 -0.00385719 -0.00393965
0.0109 23.195 100 21.5257 100 0.000463901 0.000430513 -0.00384025 -0.00392372
0.011 23.5315 100 21.8422 100 0.00047063 0.000436844 -0.00382343 -0.00390789
0.0111 23.8656 100 22.1568 100 0.000477312 0.000443135 -0.00380672 -0.00389216
0.0112 24.1974 100 22.4693 100 0.000483948 0.000449387 -0.00379013 -0.00387653
0.0113 24.5269 100 22.7799 100 0.000490537 0.000455598 -0.00377366 -0.003861
0.0114 24.854 100 23.0885 100 0.000497081 0.00046177 -0.0037573 -0.00384557
0.0115 25.1789 100 23.3952 100 0.000503578 0.000467903 -0.00374105 -0.00383024
0.0116 25.5015 100 23.6999 100 0.000510031 0.000473997 -0.00372492 -0.00381501
0.0117 25.8219 100 24.0026 100 0.000516438 0.000480052 -0.0037089 -0.00379987
0.0118 26.1401 100 24.3035 100 0.000522801 0.000486069 -0.003693 -0.00378483
0.0119 26.456 100 24.6024 100 0.000529119 0.000492048 -0.0036772 -0.00376988
0.012 26.7697 100 24.8995 100 0.000535394 0.000497989 -0.00366152 -0.00375503
0.0121 27.0812 100 25.1946 100 0.000541624 0.000503892 -0.00364594 -0.00374027
0.0122 27.3906 100 25.4879 100 0.000547811 0.000509758 -0.00363047 -0.00372561
0.0123 27.6978 100 25.7793 100 0.000553955 0.000515586 -0.00361511 -0.00371103
0.0124 28.0028 100 26.0689 100 0.000560056 0.000521378 -0.00359986 -0.00369656
0.0125 28.3057 100 26.3566 100 0.000566115 0.000527133 -0.00358471 -0.00368217
0.0126 28.6065 100 26.6426 100 0.000572131 0.000532851 -0.00356967 -0.00366787
0.0127 28.9053 100 26.9267 100 0.000578105 0.000538533 -0.00355474 -0.00365367
0.0128 29.2019 100 27.209 100 0.000584038 0.000544179 -0.00353991 -0.00363955
0.0129 29.4964 100 27.4895 100 0.000589929 0.000549789 -0.00352518 -0.00362553
0.013 29.7889 100 27.7682 100 0.000595779 0.000555364 -0.00351055 -0.00361159
0.0131 30.0794 100 28.0451 100 0.000601588 0.000560903 -0.00349603 -0.00359774
0.0132 30.3679 100 28.3204 100 0.000607357 0.000566407 -0.00348161 -0.00358398
0.0133 30.6543 100 28.5938 100 0.000613086 0.000571876 -0.00346729 -0.00357031
0.0134 30.9387 100 28.8655 100 0.000618774 0.000577311 -0.00345306 -0.00355672
0.0135 31.2211 100 29.1355 100 0.000624423 0.000582711 -0.00343894 -0.00354322
0.0136 31.5016 100 29.4038 100 0.000630032 0.000588076 -0.00342492 -0.00352981
0.0137 31.7801 100 29.6704 100 0.000635603 0.000593408 -0.00341099 -0.00351648
0.0138 32.0567 100 29.9353 100 0.000641134 0.000598706 -0.00339716 -0.00350324
0.0139 32.3314 100 30.1985 100 0.000646627 0.00060397 -0.00338343 -0.00349007
0.014 32.6041 100 30.4601 100 0.000652082 0.000609201 -0.0033698 -0.003477
0.0141 32.8749 100 30.7199 100 0.000657498 0.000614399 -0.00335625 -0.003464
0.0142 33.1439 100 30.9782 100 0.000662877 0.000619564 -0.00334281 -0.00345109
0.0143 33.4109 100 31.2348 100 0.000668218 0.000624695 -0.00332945 -0.00343826
0.0144 33.6761 100 31.4897 100 0.000673522 0.000629795 -0.00331619 -0.00342551
0.0145 33.9395 100 31.7431 100 0.000678789 0.000634862 -0.00330303 -0.00341285
0.0146 34.201 100 31.9948 100 0.000684019 0.000639897 -0.00328995 -0.00340026
0.0147 34.4607 100 32.245 100 0.000689213 0.0006449 -0.00327697 -0.00338775
0.0148 34.7185 100 32.4936 100 0.000694371 0.000649871 -0.00326407 -0.00337532
0.0149 34.9746 100 32.7405 100 0.000699492 0.000654811 -0.00325127 -0.00336297
0.015 35.2289 100 32.986 100 0.000704578 0.000659719 -0.00323855 -0.0033507
0.0151 35.4814 100 33.2298 100 0.000709628 0.000664596 -0.00322593 -0.00333851
0.0152 35.7322 100 33.4721 100 0.000714644 0.000669443 -0.00321339 -0.00332639
0.0153 35.9812 100 33.7129 100 0.000719624 0.000674258 -0.00320094 -0.00331435
0.0154 36.2285 100 33.9522 100 0.000724569 0.000679043 -0.00318858 -0.00330239
0.0155 36.474 100 34.1899 100 0.00072948 0.000683798 -0.0031763 -0.00329051
0.0156 36.7178 100 34.4261 100 0.000734357 0.000688522 -0.00316411 -0.00327869
0.0157 36.96 100 34.6608 100 0.000739199 0.000693217 -0.003152 -0.00326696
0.0158 37.2004 100 34.8941 100 0.000744008 0.000697882 -0.00313998 -0.0032553
0.0159 37.4392 100 35.1258 100 0.000748783 0.000702517 -0.00312804 -0.00324371
0.016 37.6763 100 35.3561 100 0.000753525 0.000707122 -0.00311619 -0.00323219
0.0161 37.9117 100 35.5849 100 0.000758234 0.000711699 -0.00310441 -0.00322075
0.0162 38.1455 100 35.8123 100 0.00076291 0.000716246 -0.00309272 -0.00320938
0.0163 38.3777 100 36.0383 100 0.000767554 0.000720765 -0.00308112 -0.00319809
0.0164 38.6082 100 36.2628 100 0.000772165 0.000725255 -0.00306959 -0.00318686
0.0165 38.8372 100 36.4858 100 0.000776744 0.000729717 -0.00305814 -0.00317571
0.0166 39.0645 100 36.7075 100 0.000781291 0.00073415 -0.00304677 -0.00316463
0.0167 39.2903 100 36.9277 100 0.000785806 0.000738555 -0.00303549 -0.00315361
0.0168 39.5145 100 37.1466 100 0.000790289 0.000742932 -0.00302428 -0.00314267
0.0169 39.7371 100 37.3641 100 0.000794742 0.000747281 -0.00301315 -0.0031318
0.017 39.9582 100 37.5802 100 0.000799163 0.000751603 -0.00300209 -0.00312099
0.0171 40.1777 100 37.7949 100 0.000803554 0.000755897 -0.00299112 -0.00311026
0.0172 40.3957 100 38.0082 100 0.000807914 0.000760165 -0.00298022 -0.00309959
0.0173 40.6122 100 38.2202 100 0.000812243 0.000764405 -0.00296939 -0.00308899
0.0174 40.8271 100 38.4309 100 0.000816543 0.000768618 -0.00295864 -0.00307846
0.0175 41.0406 100 38.6402 100 0.000820812 0.000772804 -0.00294797 -0.00306799
0.0176 41.2526 100 38.8482 100 0.000825051 0.000776964 -0.00293737 -0.00305759
0.0177 41.4631 100 39.0549 100 0.000829261 0.000781098 -0.00292685 -0.00304726
0.0178 41.6721 100 39.2602 100 0.000833442 0.000785205 -0.0029164 -0.00303699
0.0179 41.8797 100 39.4643 100 0.000837593 0.000789286 -0.00290602 -0.00302678
0.018 42.0858 100 39.6671 100 0.000841716 0.000793341 -0.00289571 -0.00301665
0.0181 42.2905 100 39.8685 100 0.00084581 0.000797371 -0.00288548 -0.00300657
0.0182 42.4937 100 40.0687 100 0.000849875 0.000801375 -0.00287531 -0.00299656
0.0183 42.6956 100 40.2677 100 0.000853912 0.000805354 -0.00286522 -0.00298662
0.0184 42.896 100 40.4654 100 0.00085792 0.000809307 -0.0028552 -0.00297673
0.0185 43.095 100 40.6618 100 0.000861901 0.000813235 -0.00284525 -0.00296691
0.0186 43.2927 100 40.8569 100 0.000865854 0.000817139 -0.00283537 -0.00295715
0.0187 43.489 100 41.0509 100 0.000869779 0.000821017 -0.00282555 -0.00294746
0.0188 43.6839 100 41.2436 100 0.000873677 0.000824871 -0.00281581 -0.00293782
