t 1 2 3 4 5 6 7 8 9 jO0500 jO0100 jO0300 jV0900 
0 -2 0 0 0 2 2 0 0 0 -0.002 0.002 0 0
5e-07 -1.99778 0 -0.0665263 -6.64598e-05 1.99778 0.00199579 0 0 2 -0.00399357 0.00193132 0.00206225 0
1e-06 -1.99188 0 -0.155032 -0.000154877 1.99188 0.00198989 0 0 2 -0.00398178 0.00183701 0.00214477 0
1.5e-06 -1.98157 0 -0.25052 -0.000250269 1.98157 0.00197959 0 0 2 -0.00396117 0.0017313 0.00222986 0
2e-06 -1.96655 0 -0.347836 -0.000347488 1.96655 0.00196459 0 0 2 -0.00393115 0.00161907 0.00231208 0
2.5e-06 -1.94673 0 -0.4451 -0.000444656 1.94673 0.00194478 0 0 2 -0.00389151 0.00150207 0.00238944 0
3e-06 -1.92208 0 -0.541527 -0.000540986 1.92208 0.00192016 0 0 2 -0.00384225 0.0013811 0.00246115 0
3.5e-06 -1.89267 0 -0.636695 -0.000636059 1.89267 0.00189078 0 0 2 -0.00378345 0.00125661 0.00252684 0
4e-06 -1.85854 0 -0.730308 -0.000729578 1.85854 0.00185669 0 0 2 -0.00371523 0.00112897 0.00258627 0
4.5e-06 -1.81979 0 -0.822111 -0.00082129 1.81979 0.00181797 0 0 2 -0.00363777 0.000998503 0.00263926 0
5e-06 -1.77651 0 -0.91187 -0.000910959 1.77651 0.00177474 0 0 2 -0.00355125 0.000865551 0.00268569 0
5.5e-06 -1.7288 0 -0.999359 -0.00099836 1.7288 0.00172708 0 0 2 -0.00345588 0.000730443 0.00272544 0
6e-06 -1.67679 0 -1.08436 -0.00108328 1.67679 0.00167512 0 0 2 -0.00335191 0.000593517 0.00275839 0
6.5e-06 -1.62061 0 -1.16666 -0.00116549 1.62061 0.00161899 0 0 2 -0.00323959 0.000455113 0.00278448 0
7e-06 -1.56038 0 -1.24605 -0.00124481 1.56038 0.00155882 0 0 2 -0.00311921 0.000315575 0.00280363 0
7.5e-06 -1.49628 0 -1.32234 -0.00132102 1.49628 0.00149478 0 0 2 -0.00299106 0.000175253 0.0028158 0
8e-06 -1.47491 0 -1.34777 -1.34777 1.47491 1.47491 0 0 0 -0.00147491 0.00147491 1.646e-18 0
8.5e-06 -1.46778 0 -1.35625 -1.35625 1.46778 1.46778 0 0 0 -0.00146778 0.00146778 -7.97376e-19 0
9e-06 -1.46541 0 -1.35908 -1.35908 1.46541 1.46541 0 0 0 -0.00146541 0.00146541 6.30087e-19 0
9.5e-06 -1.46462 0 -1.36002 -1.36002 1.46462 1.46462 0 0 0 -0.00146462 0.00146462 -9.90182e-19 0
1e-05 -1.46435 0 -1.36033 -1.36033 1.46435 1.46435 0 0 0 -0.00146435 0.00146435 2.73359e-18 0
1.05e-05 -1.46426 0 -1.36044 -1.36044 1.46426 1.46426 0 0 0 -0.00146426 0.00146426 4.04384e-18 0
1.1e-05 -1.46424 0 -1.36047 -1.36047 1.46424 1.46424 0 0 0 -0.00146424 0.00146424 2.24453e-18 0
1.15e-05 -1.46423 0 -1.36048 -1.36048 1.46423 1.46423 0 0 0 -0.00146423 0.00146423 1.71577e-18 0
1.2e-05 -1.46422 0 -1.36049 -1.36049 1.46422 1.46422 0 0 0 -0.00146422 0.00146422 3.9963e-18 0
1.25e-05 -1.46422 0 -1.36049 -1.36049 1.46422 1.46422 0 0 0 -0.00146422 0.00146422 -6.14099e-21 0
1.3e-05 -1.46422 0 -1.36049 -1.36049 1.46422 1.46422 0 0 0 -0.00146422 0.00146422 1.11724e-18 0
1.35e-05 -1.46422 0 -1.36049 -1.36049 1.46422 1.46422 0 0 0 -0.00146422 0.00146422 1.42143e-18 0
1.4e-05 -1.46422 0 -1.36049 -1.36049 1.46422 1.46422 0 0 0 -0.00146422 0.00146422 -4.99114e-19 0
1.45e-05 -1.46422 0 -1.36049 -1.36049 1.46422 1.46422 0 0 0 -0.00146422 0.00146422 -1.21094e-18 0
1.5e-05 -1.46422 0 -1.36049 -1.36049 1.46422 1.46422 0 0 0 -0.00146422 0.00146422 2.96218e-18 0
1.55e-05 -1.46422 0 -1.36049 -1.36049 1.46422 1.46422 0 0 0 -0.00146422 0.00146422 -2.43787e-18 0
1.6e-05 -1.46422 0 -1.36049 -1.36049 1.46422 1.46422 0 0 0 -0.00146422 0.00146422 2.91263e-18 0
1.65e-05 -1.46422 0 -1.36049 -1.36049 1.46422 1.46422 0 0 0 -0.00146422 0.00146422 2.09736e-18 0
1.7e-05 -1.46422 0 -1.36049 -1.36049 1.46422 1.46422 0 0 0 -0.00146422 0.00146422 -2.72533e-19 0
1.75e-05 -1.46422 0 -1.36049 -1.36049 1.46422 1.46422 0 0 0 -0.00146422 0.00146422 -1.13344e-18 0
